,Name,Age,90s,Gls/90,Ast/90,PK/90,Non PK Gls/90,Yellow Cards/90,Red Cards/90,xG/90,non PK xG/90,xA/90,Shots/90,Shots on Target/90,Free Kicks/90,Pass Cmp/90,Pass Cmp Pctg,Short Pass Cmp/90,Short Pass Cmp Pctg,Medium Pass Cmp/90,Medium Pass Cmp Pctg,Long Pass Cmp/90,Long Pass Cmp Pctg,Attacking Passes/90,Successful Box Crosses/90,Progressing Passes/90,Through Balls/90,Passes under pressure/90,Switches/90,Crosses/90,Bad Passes/90,SCA/90,GCA/90,Tkl Won/90,Tkl Success Rate,Tkl vs Dribbles/90,Tkl vs. dribbles Success Rate,Successful Presses/90,Press Success Rate,Blocks/90,Int/90,Clearances/90,Errors/90,Touches/90,Mid 3rd Touches/90,Att 3rd Touchs/90,Att Pen Touches/90,Successful Dribbles/90,Dribble Success Rate,Carries/90,Progressive Carries/90,Attacking Carries/90,Bad Dribbles /90,Rec/90,Rec Success Rate,Fouls Committed/90,Fouls drawn/90,PKs won/90,PKs conceded/90,Loose Balls Recov/90,Aerial Battles Won/90,Aerial Battle Success Rate,Position Group,Position Subgroup,Club Tier,European
0,Romelu Lukaku,28,45.1,0.6430155210643015,0.24390243902439024,0.13303769401330376,0.5099778270509978,0.08869179600886917,0.0,0.6031042128603104,0.4501108647450111,0.18048780487804877,2.5942350332594235,1.1529933481152992,0.044345898004434586,15.920177383592018,72.37903225806451,10.133037694013304,82.19424460431655,3.614190687361419,65.46184738955823,0.975609756097561,64.70588235294117,3.3702882483370287,0.08869179600886917,1.7738359201773835,0.24390243902439024,7.937915742793791,0.3991130820399113,0.6208425720620843,2.6829268292682924,3.1929046563192904,0.5986696230598669,0.13303769401330376,46.15384615384615,0.06651884700665188,23.076923076923077,2.6164079822616406,29.064039408866993,0.5099778270509978,0.08869179600886917,1.1086474501108647,0.0,33.85809312638581,15.121951219512194,18.8470066518847,6.917960088691796,1.0864745011086474,55.68181818181818,23.082039911308204,3.4146341463414633,2.572062084257206,4.4567627494456765,26.518847006651885,55.62790697674419,0.9534368070953436,1.3968957871396894,0.022172949002217293,0.0,2.793791574279379,1.5964523281596452,42.10526315789473,Attacker,Central Attacker,6,1
1,Mohamed Salah,29,57.300000000000004,0.7155322862129144,0.2617801047120419,0.17452006980802792,0.5410122164048865,0.017452006980802792,0.0,0.5846422338568935,0.4310645724258289,0.12251308900523558,3.7521815008726,1.4659685863874345,0.034904013961605584,30.122164048865617,81.33836003770028,18.394415357766142,89.77853492333901,9.284467713787086,80.72837632776935,1.588132635253054,58.333333333333336,5.375218150087259,0.29668411867364747,4.048865619546247,0.34904013961605584,6.4048865619546245,0.41884816753926696,1.4659685863874345,3.263525305410122,3.8917975567190224,0.6282722513089005,0.29668411867364747,47.22222222222222,0.15706806282722513,33.33333333333333,4.048865619546247,26.94541231126597,0.36649214659685864,0.34904013961605584,0.2617801047120419,0.017452006980802792,50.82024432809773,17.347294938917976,34.24083769633508,9.703315881326352,1.6404886561954624,48.205128205128204,39.21465968586387,6.631762652705061,3.4031413612565444,5.549738219895287,41.81500872600349,66.53707303526798,0.5584642233856894,0.9075043630017451,0.06980802792321117,0.0,5.68935427574171,0.5410122164048865,26.956521739130434,Attacker,Winger,6,0
2,Harry Kane,28,57.1,0.542907180385289,0.29772329246935203,0.08756567425569177,0.4553415061295972,0.07005253940455342,0.0,0.5446584938704028,0.39229422066549907,0.138353765323993,3.7302977232924692,1.4010507880910683,0.36777583187390545,19.316987740805605,70.5242966751918,8.896672504378284,77.55725190839695,6.725043782837128,75.0,3.08231173380035,62.63345195729537,5.253940455341506,0.21015761821366025,3.467600700525394,0.4028021015761821,7.180385288966725,1.3485113835376532,1.0157618213660244,3.467600700525394,3.1523642732049035,0.6129597197898423,0.31523642732049034,64.28571428571429,0.14010507880910683,22.857142857142858,3.029772329246935,26.947040498442366,0.7355516637478109,0.3327495621716287,1.1733800350262698,0.0,40.665499124343256,21.330998248686516,18.318739054290717,5.0437828371278455,1.48861646234676,60.71428571428571,27.04028021015762,4.15061295971979,2.3117338003502628,4.168126094570928,30.94570928196147,60.3896103896104,1.0332749562171628,1.8739054290718038,0.03502626970227671,0.0,4.325744308231173,2.732049036777583,43.45403899721448,Attacker,Central Attacker,6,1
3,Marcus Rashford,24,41.8,0.35885167464114837,0.26315789473684215,0.0,0.35885167464114837,0.14354066985645933,0.0,0.2775119617224881,0.2679425837320575,0.09210526315789475,2.3444976076555024,1.1004784688995215,0.14354066985645933,28.82775119617225,78.1959766385464,15.956937799043063,84.64467005076142,9.73684210526316,81.89134808853119,2.248803827751196,61.038961038961034,3.8755980861244024,0.215311004784689,2.799043062200957,0.07177033492822966,5.83732057416268,0.7416267942583733,1.4832535885167466,3.8038277511961724,3.1578947368421053,0.5023923444976077,0.31100478468899523,61.904761904761905,0.19138755980861244,23.52941176470588,2.966507177033493,24.75049900199601,0.7655502392344498,0.35885167464114837,0.31100478468899523,0.023923444976076555,49.30622009569378,18.923444976076556,30.478468899521534,5.956937799043063,2.535885167464115,51.20772946859904,37.22488038277512,6.3875598086124405,3.8277511961722492,4.210526315789474,41.36363636363637,71.56456953642383,0.7894736842105263,1.7942583732057418,0.04784688995215311,0.0,4.5215311004784695,0.7894736842105263,44.5945945945946,Attacker,Winger,6,1
4,Jadon Sancho,21,37.5,0.26666666666666666,0.3466666666666667,0.02666666666666667,0.24,0.0,0.0,0.26666666666666666,0.25866666666666666,0.18613333333333332,1.84,0.56,0.05333333333333334,46.266666666666666,79.80680772769088,26.88,87.19723183391004,15.36,83.11688311688312,2.88,53.20197044334976,7.493333333333333,0.26666666666666666,5.28,0.18666666666666668,8.773333333333333,0.9333333333333333,2.0533333333333332,5.386666666666667,4.96,0.72,0.5066666666666667,67.85714285714286,0.37333333333333335,37.83783783783784,3.9466666666666668,31.157894736842106,1.4666666666666666,0.6666666666666666,0.3466666666666667,0.02666666666666667,70.48,28.906666666666666,40.693333333333335,5.68,3.3333333333333335,55.55555555555556,55.28,10.266666666666667,5.84,4.1866666666666665,54.93333333333333,82.39999999999999,0.21333333333333335,0.8266666666666667,0.0,0.0,7.12,0.18666666666666668,16.27906976744186,Attacker,Winger,6,1
5,Raheem Sterling,27,45.599999999999994,0.4385964912280702,0.1754385964912281,0.04385964912280702,0.3947368421052632,0.10964912280701755,0.0,0.43201754385964913,0.3223684210526316,0.11776315789473686,2.390350877192983,1.074561403508772,0.06578947368421054,33.92543859649123,84.48935008192244,22.06140350877193,90.71235347159603,9.605263157894738,87.07753479125249,1.1403508771929827,59.77011494252874,4.1228070175438605,0.2192982456140351,2.6315789473684212,0.08771929824561404,7.346491228070176,0.3508771929824562,1.6228070175438598,3.3114035087719302,3.596491228070176,0.4385964912280702,0.7456140350877194,77.27272727272727,0.24122807017543862,31.428571428571427,3.1578947368421058,27.906976744186046,0.6578947368421053,0.5701754385964913,0.08771929824561404,0.0,53.33333333333334,19.780701754385966,34.3640350877193,9.035087719298247,2.192982456140351,49.26108374384236,45.877192982456144,8.442982456140353,3.9692982456140355,5.000000000000001,45.00000000000001,76.2258543833581,1.3596491228070178,1.9956140350877196,0.08771929824561404,0.0,4.627192982456141,0.1754385964912281,14.035087719298245,Attacker,Winger,6,1
6,Son,29,24.6,0.04065040650406504,0.0,0.0,0.04065040650406504,0.2032520325203252,0.04065040650406504,0.048780487804878044,0.044715447154471545,0.05121951219512195,0.5284552845528455,0.3252032520325203,0.0,38.08943089430894,74.72089314194578,16.21951219512195,84.8936170212766,15.609756097560975,81.87633262260128,5.691056910569105,54.054054054054056,5.32520325203252,0.8130081300813008,5.08130081300813,0.04065040650406504,5.772357723577236,1.9105691056910568,2.8048780487804876,4.918699186991869,2.113821138211382,0.12195121951219512,0.9349593495934959,57.49999999999999,0.7723577235772358,40.42553191489361,3.292682926829268,29.454545454545457,1.6666666666666665,1.7073170731707317,2.073170731707317,0.0,61.58536585365853,27.073170731707314,20.97560975609756,2.113821138211382,0.9349593495934959,46.93877551020408,34.22764227642276,3.7398373983739837,1.8699186991869918,1.8292682926829267,34.1869918699187,87.87878787878788,1.178861788617886,0.8130081300813008,0.0,0.0,8.292682926829269,0.7317073170731707,43.90243902439025,Attacker,Winger,6,0
7,Sadio Mané,29,52.9,0.41587901701323254,0.15122873345935728,0.0,0.41587901701323254,0.0945179584120983,0.0,0.5274102079395085,0.35160680529300564,0.11890359168241967,3.119092627599244,1.1531190926275994,0.0,25.4820415879017,74.6814404432133,13.2703213610586,81.72293364377182,8.90359168241966,76.2135922330097,2.6465028355387523,72.16494845360825,4.9716446124763705,0.2835538752362949,3.3459357277882797,0.13232514177693763,6.918714555765596,0.7561436672967864,1.9848771266540643,4.46124763705104,3.6483931947069945,0.41587901701323254,0.8506616257088847,67.16417910447761,0.26465028355387527,31.818181818181817,4.6124763705103975,32.23249669749009,1.1909262759924386,0.5482041587901701,0.2835538752362949,0.0,50.41587901701323,20.0,31.020793950850663,9.073724007561436,2.23062381852552,58.415841584158414,38.449905482041586,6.937618147448015,3.9319470699432895,5.746691871455576,40.05671077504726,65.36088834053054,1.7580340264650285,2.287334593572779,0.03780718336483932,0.0,5.236294896030246,0.9073724007561437,29.09090909090909,Attacker,Winger,6,0
8,Jack Grealish,26,38.4,0.20833333333333334,0.3125,0.0,0.20833333333333334,0.18229166666666669,0.0,0.21614583333333337,0.19791666666666666,0.23124999999999998,2.0833333333333335,0.8072916666666667,0.052083333333333336,37.34375,81.6628701594533,20.3125,87.64044943820225,12.786458333333334,86.90265486725663,3.125,62.82722513089005,8.229166666666668,0.18229166666666669,5.625,0.18229166666666669,9.21875,0.9375,2.213541666666667,4.036458333333334,5.78125,0.6510416666666667,0.703125,71.05263157894737,0.15625,24.0,4.505208333333334,34.25742574257426,0.9114583333333334,0.5208333333333334,0.234375,0.026041666666666668,58.359375,24.140625,35.130208333333336,7.942708333333334,2.109375,62.7906976744186,47.34375,13.333333333333334,7.239583333333334,3.5677083333333335,44.739583333333336,77.87851314596554,1.3802083333333335,4.401041666666667,0.052083333333333336,0.0,7.03125,0.859375,36.26373626373626,Attacker,Winger,6,1
9,Gabriel Jesus,24,37.8,0.29100529100529104,0.29100529100529104,0.0,0.29100529100529104,0.052910052910052914,0.0,0.3730158730158731,0.3227513227513228,0.09947089947089947,2.5132275132275135,0.7671957671957672,0.0,29.735449735449738,84.57486832204665,17.301587301587304,89.22237380627558,9.470899470899472,85.23809523809524,1.3756613756613758,70.27027027027027,3.2539682539682544,0.15873015873015875,1.9047619047619049,0.052910052910052914,6.851851851851852,0.34391534391534395,0.8465608465608466,2.486772486772487,3.0952380952380953,0.6084656084656085,0.5291005291005292,55.55555555555556,0.2645502645502646,22.22222222222222,4.074074074074074,28.153564899451556,1.0317460317460319,0.8201058201058201,0.2380952380952381,0.0,47.61904761904762,19.365079365079367,27.804232804232807,6.851851851851852,1.8253968253968256,58.97435897435898,37.248677248677254,6.137566137566138,2.486772486772487,4.603174603174604,37.301587301587304,69.73293768545994,1.560846560846561,1.7460317460317463,0.026455026455026457,0.026455026455026457,5.0,0.7671957671957672,24.786324786324787,Attacker,Central Attacker,6,0
10,Diogo Jota,25,30.799999999999997,0.6818181818181819,0.03246753246753247,0.0,0.6818181818181819,0.09740259740259741,0.0,0.6396103896103896,0.34415584415584416,0.07500000000000001,3.5714285714285716,1.6233766233766236,0.0,23.40909090909091,73.1237322515213,12.37012987012987,80.37974683544303,8.66883116883117,77.39130434782608,1.8181818181818183,58.333333333333336,4.675324675324676,0.06493506493506494,3.14935064935065,0.16233766233766236,6.428571428571429,0.32467532467532473,0.9415584415584416,3.928571428571429,3.14935064935065,0.38961038961038963,0.8116883116883118,67.56756756756756,0.35714285714285715,16.923076923076923,5.876623376623377,27.095808383233532,0.9415584415584416,0.6493506493506495,0.32467532467532473,0.0,46.36363636363637,20.357142857142858,25.389610389610393,7.240259740259741,1.655844155844156,49.51456310679612,33.214285714285715,6.006493506493507,3.0194805194805197,4.2857142857142865,35.909090909090914,67.07095209217707,1.9480519480519483,1.8506493506493509,0.03246753246753247,0.0,5.6818181818181825,1.3636363636363638,27.631578947368425,Attacker,Central Attacker,6,1
11,Richarlison,24,47.0,0.23404255319148937,0.1276595744680851,0.02127659574468085,0.2127659574468085,0.19148936170212766,0.02127659574468085,0.32978723404255317,0.2680851063829787,0.07382978723404256,2.425531914893617,0.8297872340425532,0.0425531914893617,15.404255319148936,68.4957426679281,8.404255319148936,78.06324110671937,5.468085106382978,73.01136363636364,0.9574468085106383,54.21686746987952,2.127659574468085,0.0425531914893617,1.3404255319148937,0.1276595744680851,6.76595744680851,0.23404255319148937,0.7021276595744681,3.6808510638297873,2.5106382978723403,0.2765957446808511,0.9574468085106383,62.5,0.40425531914893614,35.18518518518518,4.8936170212765955,25.69832402234637,1.2340425531914894,0.6595744680851063,1.127659574468085,0.0,37.40425531914894,16.46808510638298,18.72340425531915,4.872340425531915,1.6808510638297873,52.317880794701985,26.70212765957447,4.531914893617022,2.702127659574468,4.382978723404255,25.425531914893618,57.50721847930702,1.2765957446808511,2.574468085106383,0.02127659574468085,0.0,5.829787234042553,1.3617021276595744,26.778242677824267,Attacker,Central Attacker,5,0
